SalesOrderId,EmailAddress,ProductName,Quantity
71774,david16@adventure-works.com,ML Road Frame-W - Yellow 48,1
71774,david16@adventure-works.com,ML Road Frame-W - Yellow 38,1
71776,andrea1@adventure-works.com,Rear Brakes,1
71780,raja0@adventure-works.com,ML Mountain Frame-W - Silver 42,4
71780,raja0@adventure-works.com,Mountain-400-W Silver 46,2
71780,raja0@adventure-works.com,Mountain-500 Silver 52,6
71780,raja0@adventure-works.com,HL Mountain Frame - Silver 38,2
71780,raja0@adventure-works.com,Mountain-500 Black 42,1
71780,raja0@adventure-works.com,LL Mountain Frame - Black 48,1
71780,raja0@adventure-works.com,HL Mountain Frame - Black 42,1
71780,raja0@adventure-works.com,Mountain-200 Black 38,4
71780,raja0@adventure-works.com,LL Mountain Frame - Silver 44,2
71780,raja0@adventure-works.com,Mountain-200 Silver 42,4
71780,raja0@adventure-works.com,HL Mountain Pedal,1
71780,raja0@adventure-works.com,Women's Mountain Shorts S,6
71780,raja0@adventure-works.com,Mountain-500 Silver 42,1
71780,raja0@adventure-works.com,Mountain-500 Black 40,2
71780,raja0@adventure-works.com,Mountain-500 Black 44,3
71780,raja0@adventure-works.com,Mountain-500 Black 48,1
71780,raja0@adventure-works.com,Mountain-500 Black 52,2
71780,raja0@adventure-works.com,Mountain-500 Silver 40,2
71780,raja0@adventure-works.com,Mountain-500 Silver 44,3
71780,raja0@adventure-works.com,Mountain-500 Silver 48,3
71780,raja0@adventure-works.com,Mountain-400-W Silver 40,2
71780,raja0@adventure-works.com,Mountain-400-W Silver 42,3
71780,raja0@adventure-works.com,Mountain-200 Black 42,5
71780,raja0@adventure-works.com,ML Mountain Handlebars,3
71780,raja0@adventure-works.com,HL Mountain Handlebars,1
71780,raja0@adventure-works.com,LL Mountain Pedal,2
71780,raja0@adventure-works.com,LL Mountain Frame - Black 44,1
71780,raja0@adventure-works.com,Women's Mountain Shorts L,7
71780,raja0@adventure-works.com,Hydration Pack - 70 oz.,1
71782,catherine0@adventure-works.com,Long-Sleeve Logo Jersey M,3
71782,catherine0@adventure-works.com,Touring-1000 Yellow 54,3
71782,catherine0@adventure-works.com,Touring-1000 Yellow 46,1
71782,catherine0@adventure-works.com,AWC Logo Cap,10
71782,catherine0@adventure-works.com,Bike Wash - Dissolver,10
71782,catherine0@adventure-works.com,HL Bottom Bracket,4
71782,catherine0@adventure-works.com,Classic Vest S,6
71782,catherine0@adventure-works.com,Hitch Rack - 4-Bike,3
71782,catherine0@adventure-works.com,Touring-3000 Blue 58,4
71782,catherine0@adventure-works.com,Touring-2000 Blue 50,4
71782,catherine0@adventure-works.com,Water Bottle - 30 oz.,6
71782,catherine0@adventure-works.com,Touring-3000 Blue 44,1
